t (s)	x (m)	y (m)
0,00	1	0,5
0,02	1,01000004	0,517992
0,04	1,02000032	0,535968
0,06	1,03000108	0,553928
0,08	1,04000256	0,571872
0,10	1,050005	0,5898
0,12	1,06000864	0,607712
0,14	1,07001372	0,625608
0,16	1,08002048	0,643488
0,18	1,09002916	0,661352
0,20	1,10004	0,6792
0,22	1,11005324	0,697032
0,24	1,12006912	0,714848
0,26	1,13008788	0,732648
0,28	1,14010976	0,750432
0,30	1,150135	0,7682
0,32	1,16016384	0,785952
0,34	1,17019652	0,803688
0,36	1,18023328	0,821408
0,38	1,19027436	0,839112
0,40	1,20032	0,8568
0,42	1,21037044	0,874472
0,44	1,22042592	0,892128
0,46	1,23048668	0,909768
0,48	1,24055296	0,927392
0,50	1,250625	0,945
0,52	1,26070304	0,962592
0,54	1,27078732	0,980168
0,56	1,28087808	0,997728
0,58	1,29097556	1,015272
0,60	1,30108	1,0328
0,62	1,31119164	1,050312
0,64	1,32131072	1,067808
0,66	1,33143748	1,085288
0,68	1,34157216	1,102752
0,70	1,351715	1,1202
0,72	1,36186624	1,137632
0,74	1,37202612	1,155048
0,76	1,38219488	1,172448
0,78	1,39237276	1,189832
0,80	1,40256	1,2072
0,82	1,41275684	1,224552
0,84	1,42296352	1,241888
0,86	1,43318028	1,259208
0,88	1,44340736	1,276512
0,90	1,453645	1,2938
0,92	1,46389344	1,311072
0,94	1,47415292	1,328328
0,96	1,48442368	1,345568
0,98	1,49470596	1,362792
1,00	1,505	1,38
1,02	1,51530604	1,397192
1,04	1,52562432	1,414368
1,06	1,53595508	1,431528
1,08	1,54629856	1,448672
1,10	1,556655	1,4658
1,12	1,56702464	1,482912
1,14	1,57740772	1,500008
1,16	1,58780448	1,517088
1,18	1,59821516	1,534152
1,20	1,60864	1,5512
1,22	1,61907924	1,568232
1,24	1,62953312	1,585248
1,26	1,64000188	1,602248
1,28	1,65048576	1,619232
1,30	1,660985	1,6362
1,32	1,67149984	1,653152
1,34	1,68203052	1,670088
1,36	1,69257728	1,687008
1,38	1,70314036	1,703912
1,40	1,71372	1,7208
1,42	1,72431644	1,737672
1,44	1,73492992	1,754528
1,46	1,74556068	1,771368
1,48	1,75620896	1,788192
1,50	1,766875	1,805
1,52	1,77755904	1,821792
1,54	1,78826132	1,838568
1,56	1,79898208	1,855328
1,58	1,80972156	1,872072
1,60	1,82048	1,8888
1,62	1,83125764	1,905512
1,64	1,84205472	1,922208
1,66	1,85287148	1,938888
1,68	1,86370816	1,955552
1,70	1,874565	1,9722
1,72	1,88544224	1,988832
1,74	1,89634012	2,005448
1,76	1,90725888	2,022048
1,78	1,91819876	2,038632
1,80	1,92916	2,0552
1,82	1,94014284	2,071752
1,84	1,95114752	2,088288
1,86	1,96217428	2,104808
1,88	1,97322336	2,121312
1,90	1,984295	2,1378
1,92	1,99538944	2,154272
1,94	2,00650692	2,170728
1,96	2,01764768	2,187168
1,98	2,02881196	2,203592
2,00	2,04	2,22
2,02	2,05121204	2,236392
2,04	2,06244832	2,252768
2,06	2,07370908	2,269128
2,08	2,08499456	2,285472
2,10	2,096305	2,3018
2,12	2,10764064	2,318112
2,14	2,11900172	2,334408
2,16	2,13038848	2,350688
2,18	2,14180116	2,366952
2,20	2,15324	2,3832
2,22	2,16470524	2,399432
2,24	2,17619712	2,415648
2,26	2,18771588	2,431848
2,28	2,19926176	2,448032
2,30	2,210835	2,4642
